"PHU","PHU_fr","accessible","active","additional_information","additional_information_fr","address","address_fr","after_hours","age_threshold","appointments","asl_interpretation","children_under_2","city","drive_through","email","first_nations","free_parking","french_language_services","friday","general_population","holiday_hours","location_id","latitude","location_name","location_name_fr","longitude","monday","operated_by","operated_by_fr","paid_parking","pharmacy","phone","phu_id","postal_code","province","public_transit","region","region_fr","saturday","sunday","symptomatic","temporarily_closed","thursday","tuesday","walk_ins","website","wednesday","weeks_pregnant"
"Timiskaming Health Unit","Services de santé du Timiskaming","Yes","Yes",,,"145 Government Road East","145 chemin Government Est","Yes",,"Yes",,"","Kirkland Lake","Yes",,,,,"9:00-13:00",,,"1","48.153552","Kirkland and District Hospital","Kirkland and District Hospital","-80.014725","9:00-13:00","Kirkland Lake Hospital","Kirkland Hospital",,,"705-568-2127","1","P2N 3P4","ON",,"North","Nord",,,"Yes",,"9:00-13:00","9:00-13:00","No","","9:00-13:00",
"Simcoe Muskoka District Health Unit","Bureau de santé publique du district de Simcoe-Muskoka","Yes","Yes","Located in the back parking lot Royal Canadian Legion, so please use the Erie Street entrance, NOT the Ontario Street Entrance. There is no parking fee.  Please use the wait list app on www.gbfht.ca/cac or call to schedule an appointment","Situé dans la tente dans le stationnement de l’Équipe de Santé Familiale, à côté de l’hôpital.","490 Ontario Street",,,"0m","Yes","No","","Collingwood","Yes",,,"Yes","No","09:00-17:00",,,"2","44.503928","South Georgian Bay Regional Assessment Centre ",,"-80.201516","09:00-17:00","Georgian Bay Family Health Team ",,,,"705-444-5885","2","L9Y 1N6","ON","Yes","Central","Centre","","","Yes",,"09:00-17:00","09:00-17:00","No","http://www.gbfht.ca/cac","09:00-17:00",
"Simcoe Muskoka District Health Unit","Bureau de santé publique du district de Simcoe-Muskoka","Yes","Yes","Please call to schedule an appointment after completing the self-assessment tool on the hospital's website. Appointments for swabbing can be booked via phone by calling 705-529-1025 and follow signs/directional signs to the entrance. Clients will see a greeter at the door when they pull up into the parking lot",,"1156 St. Andrews Drive",,,"0m","Yes","No","","Midland","No",,"Beausoleil First Nation","Yes","Yes","8:00-20:00",,,"3","44.741840","Midland Assessment Centre","Midland Assessment Centre","-79.912455","8:00-20:00","Georgian Bay General Hospital","Hôpital général de la baie Georgienne",,,"705-529-1025","2","L4R 4P4","ON","Yes","Central","Centre","8:00-16:00",,"Yes",,"8:00-20:00","8:00-20:00","No","http://gbgh.on.ca/covid-19-novel-coronavirus-updates/","8:00-20:00",
"Halton Region Health Department","Service de santé de la région d'Halton","Yes","Yes","Arrive at scheduled time (no more than 5 minutes early) to the Outpatient Entrance of Milton District Hospital. This is the entrance facing Bronte Street and is marked with yellow flags. Further specific details are provided when appointment is booked.",,"725 Bronte Street South","725 rue Bronte Sud",,"0m","Yes","No","","Milton","No",,,"Yes","No","9:00-16:30",,,"4","43.497418","Milton District Hospital","Hôpital du district de Milton","-79.868476","9:00-16:30","Halton Healthcare Services","Halton Healthcare Services",,,"905-203-7963","3","L9T 9K1","ON","Yes","Central","Centre","9:00-16:30","9:00-16:30","Yes",,"9:00-16:30","9:00-16:30","No","https://www.haltonhealthcare.on.ca/covid-19-info/covid-19-testing","9:00-16:30",
"Halton Region Health Department","Service de santé de la région d'Halton","Yes","Yes","Arrive at scheduled time (no more than 5 minutes early) to the South Entrance of Oakville Trafalgar Memorial Hospital. This is the entrance facing Dundas Street and is marked with multi-coloured flags. Do not enter via the Emergency Department. Further specific details are provided when appointment is booked.",,"3001 Hospital Gate","3001 Hospital Gate",,"0m","Yes","No","","Oakville","No",,,"Yes","No","8:00-20:00",,,"5","43.450869","Oakville Trafalgar Memorial Hospital","Oakville Trafalger Memorial Hospital","-79.763927","8:00-20:00","Halton Healthcare Services","Halton Healthcare Services",,,"905-203-7963","3","L6M 0L8","ON","Yes","Central","Centre","8:00-20:00","8:00-20:00","Yes",,"8:00-20:00","8:00-20:00","No","https://www.haltonhealthcare.on.ca/covid-19-info/covid-19-testing","8:00-20:00",
"Halton Region Health Department","Service de santé de la région d'Halton","Yes","Yes","Arrive at scheduled time (no more than 5 minutes early) to the mobile testing centre located at rear of Georgetown Hospital. Further specific details are provided when appointment is booked.",,"1 Princess Anne Drive","1 chemin Princess Anne",,"0m","Yes","No","","Georgetown","No",,,"Yes","No","9:00-16:30",,,"6","43.644985","Georgetown Hospital","Hôpital de Georgetown","-79.933321","9:00-16:30","Halton Healthcare Services","Halton Healthcare Services",,,"905-203-7963","3","L7G 2B8","ON","Yes","Central","Centre","9:00-16:30","9:00-16:30","Yes",,"9:00-16:30","9:00-16:30","No","https://www.haltonhealthcare.on.ca/covid-19-info/covid-19-testing","9:00-16:30",
"Wellington-Dufferin-Guelph Health Unit","Bureau de santé publique de Wellington-Dufferin-Guelph","No","Yes","Please call 1-833-442-2001 between the hours of 8:30 am and 4:30 pm daily to book an appointment.  Located beside the Emergency Department.  Last patient is seen at 9:40 pm.  For children under 2 years of age and requiring COVID-19 testing, please visit the Emergency Department. 
Appointment and location details: Appointment only.  Call or go online at www.headwatershealth.ca to book an appointment.  No drive through available.  Near public transit.",,"100 Rolling Hills Drive","100 chemin Rolling Hills",,"2y","Yes","No","","Orangeville","No",,,,"No","10:00-22:00",,,"7","43.920776","Headwaters Health Care Centre","Headwaters Health Care Centre","-80.072523","10:00-22:00","Headwaters Health Care Centre","Headwaters Health Care Centre","Yes",,"833-442-2001","4","L9W 4X9","ON","Yes","Central","Centre","10:00-22:00","10:00-22:00","Yes",,"10:00-22:00","10:00-22:00","No ","https://www.headwatershealth.ca/","10:00-22:00",
"York Region Public Health Services","Service de santé de la région de York",,"Yes",,,"10 Trench Street","10 rue Trench ",,"6m","Yes",,"","Richmond Hill","No",,,,,"10:00-21:30",,,"8","43.870017","MacKenzie Health","MacKenzie Health","-79.450278","10:00-21:30","MacKenzie Health","MacKenzie Health",,,"905-883-1212 ext. 2004","5","L4C 4Z3","ON",,"Central","Centre","10:00-17:30","10:00-17:30","Yes",,"10:00-21:30","10:00-21:30","No","https://www.mackenziehealth.ca/en/about-us/get-the-latest-information-on-covid-19.aspx","10:00-21:30","20"
"York Region Public Health Services","Service de santé de la région de York","Yes","Yes","To get tested at Markham Stouffville Hospital’s COVID-19 Assessment Centre you must meet current OH guidance for screening and REGISTER online to book an appointment at https://www.msh.on.ca/clinics-departments/covid-19-assessment-centre#registration
 We do swab all ages at our assessment center.",,"381 Church Street","381 rue Church",,"0m","Yes","No","","Markham","No",,,,"No","9:00-19:00",,"9:00-17:00","9","43.884138","Markham Stouffville Hospital ","Hôpital de Markham-Stouffville","-79.231961","9:00-19:00","Markham Stouffville Hospital ","Hôpital de Markham-Stouffville","Yes",,,"5","L3P 7P3","ON","Yes","Central","Centre","9:00-17:00","9:00-17:00","Yes",,"9:00-19:00","9:00-19:00","No","https://www.msh.on.ca/","9:00-19:00",
"Simcoe Muskoka District Health Unit","Bureau de santé publique du district de Simcoe-Muskoka","Yes",,,,"131 Wellington Street","131 rue Wellington",,"0m","Yes","No","","Bracebridge","Yes",,"Moose Deer Point and Wahta First Nations","Yes","No","09:00-17:00","Yes",,"10","45.037419","Bracebridge Rotary Centre","Bracebridge Rotary Centre","-79.318023","09:00-17:00","Muskoka Algonquin Healthcare","Muskoka Algonquin Healthcare",,,"888-383-7009","2","P1L 1E2","ON","No","Central","Centre","","","Yes","Yes","09:00-17:00","09:00-17:00","No","https://www.mahc.ca/en/services/covid19.aspx#","09:00-17:00",
